[COLOR yellow]uk.txt - Date: 20180726-1411 [/COLOR]@Filename@OK Filename
*** AutoIPTV ***@https://autoiptv.net@[COLOR red]TITLE[/COLOR]
*** Playlists ***@https://autoiptv.net/playlists@[COLOR red]TITLE[/COLOR]
4 SEVEN | HD@http://izgemma.ddns.net:8000/live/chief/chief/37163.ts@[COLOR green]OK 200[/COLOR]
PTV GLOBAL | SD@http://izgemma.ddns.net:8000/live/chief/chief/11756.ts@[COLOR green]OK 200[/COLOR]
PTV GLOBAL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11756.ts@[COLOR green]OK 200[/COLOR]
PTV PRIME | SD@http://izgemma.ddns.net:8000/live/chief/chief/11880.ts@[COLOR green]OK 200[/COLOR]
PTV PRIME | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11880.ts@[COLOR green]OK 200[/COLOR]
QUEST | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7671.ts@[COLOR red]timed out[/COLOR]
QUEST | SD@http://izgemma.ddns.net:8000/live/chief/chief/1409.ts@[COLOR green]OK 200[/COLOR]
QUEST | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/1409.ts@[COLOR green]OK 200[/COLOR]
QURAN HIDAYAH | SD@http://titiroq.xyz:25461/live/Saad55/Saad55/23202.ts@[COLOR red] Not Found[/COLOR]
QURAN HIDAYAH | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/23202.ts@[COLOR red]OK  Unauthorized[/COLOR]
REAL LIVES | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11342.ts@[COLOR green]OK 200[/COLOR]
REAL LIVES | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11342.ts@[COLOR green]OK 200[/COLOR]
REALLIVES | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7683.ts@[COLOR green]OK 200[/COLOR]
REALLY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7678.ts@[COLOR green]OK 200[/COLOR]
REALLY | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/9232.ts@[COLOR green]OK 200[/COLOR]
REALLY | SD@http://izgemma.ddns.net:8000/live/chief/chief/9232.ts@[COLOR green]OK 200[/COLOR]
REALLY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9232.ts@[COLOR green]OK 200[/COLOR]
REALLY | SD@http://izgemma.ddns.net:8000/live/chief/chief/37422.ts@[COLOR red] Forbidden[/COLOR]
REALLY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37422.ts@[COLOR red] Forbidden[/COLOR]
RECORD TV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11738.ts@[COLOR green]OK 200[/COLOR]
RECORD TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11738.ts@[COLOR green]OK 200[/COLOR]
RECORD TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11738.ts@[COLOR green]OK 200[/COLOR]
REVELATION | SD@http://izgemma.ddns.net:8000/live/chief/chief/11890.ts@[COLOR green]OK 200[/COLOR]
REVELATION | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11890.ts@[COLOR green]OK 200[/COLOR]
RISHTEY | SD@http://izgemma.ddns.net:8000/live/chief/chief/11298.ts@[COLOR green]OK 200[/COLOR]
RISHTEY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11298.ts@[COLOR green]OK 200[/COLOR]
ROK | SD@http://izgemma.ddns.net:8000/live/chief/chief/11867.ts@[COLOR green]OK 200[/COLOR]
ROK | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11867.ts@[COLOR green]OK 200[/COLOR]
RT DOCUMENTARY | SD@https://secure-streams.akamaized.net/rt-doc/index.m3u8@[COLOR green]OK Same url[/COLOR]
RT VIVO | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/12865.ts@[COLOR red]OK  Unauthorized[/COLOR]
RTE 2 | HD@http://izgemma.ddns.net:8000/live/chief/chief/11334.ts@[COLOR green]OK 200[/COLOR]
RTE 2 | HD@http://izgemma.ddns.net:8000/live/chief/chief/17928.ts@[COLOR red]OK  Unauthorized[/COLOR]
RTE 2 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11334.ts@[COLOR green]OK 200[/COLOR]
RTE 2 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17928.ts@[COLOR red]OK  Unauthorized[/COLOR]
RTE ONE | HD@http://izgemma.ddns.net:8000/live/chief/chief/37162.ts@[COLOR green]OK 200[/COLOR]
RTE ONE | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/37162.ts@[COLOR green]OK 200[/COLOR]
RTE ONE | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11243.ts@[COLOR red]timed out[/COLOR]
RTE TWO | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11242.ts@[COLOR green]OK 200[/COLOR]
RTE1 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7735.ts@[COLOR green]OK 200[/COLOR]
RTEJR | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7569.ts@[COLOR green]OK 200[/COLOR]
RTI | HD@http://izgemma.ddns.net:8000/live/chief/chief/17927.ts@[COLOR red]OK  Unauthorized[/COLOR]
RTI | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17927.ts@[COLOR red]OK  Unauthorized[/COLOR]
RUSSIA TODAY | SD@http://izgemma.ddns.net:8000/live/chief/chief/11326.ts@[COLOR green]OK 200[/COLOR]
RUSSIA TODAY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11326.ts@[COLOR green]OK 200[/COLOR]
S4C | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7567.ts@[COLOR green]OK 200[/COLOR]
SAFEER TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/12598.ts@[COLOR green]OK 200[/COLOR]
SAMAA | SD@http://izgemma.ddns.net:8000/live/chief/chief/11287.ts@[COLOR green]OK 200[/COLOR]
SAMAA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11287.ts@[COLOR green]OK 200[/COLOR]
SANGAT | SD@http://izgemma.ddns.net:8000/live/chief/chief/11743.ts@[COLOR green]OK 200[/COLOR]
SANGAT | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11743.ts@[COLOR green]OK 200[/COLOR]
SANSKAR | SD@http://izgemma.ddns.net:8000/live/chief/chief/35121.ts@[COLOR green]OK 200[/COLOR]
SANSKAR | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/35121.ts@[COLOR green]OK 200[/COLOR]
SHOWCASE | SD@http://izgemma.ddns.net:8000/live/chief/chief/11855.ts@[COLOR green]OK 200[/COLOR]
SHOWCASE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11855.ts@[COLOR green]OK 200[/COLOR]
SIKH CHANNEL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11862.ts@[COLOR green]OK 200[/COLOR]
SKY 1 | HD@http://izgemma.ddns.net:8000/live/chief/chief/17929.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY 1 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17929.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY 1 | SD@http://izgemma.ddns.net:8000/live/chief/chief/14193.ts@[COLOR green]OK 200[/COLOR]
SKY 1 | SD@http://izgemma.ddns.net:8000/live/chief/chief/27675.ts@[COLOR green]OK 200[/COLOR]
SKY 1 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/14193.ts@[COLOR green]OK 200[/COLOR]
SKY 1 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/27675.ts@[COLOR green]OK 200[/COLOR]
SKY 2 | HD@http://izgemma.ddns.net:8000/live/chief/chief/17930.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY 2 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17930.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY 2 | SD@http://izgemma.ddns.net:8000/live/chief/chief/14195.ts@[COLOR green]OK 200[/COLOR]
SKY 2 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/14195.ts@[COLOR green]OK 200[/COLOR]
SKY ARTS | HD@http://izgemma.ddns.net:8000/live/chief/chief/8156.ts@[COLOR green]OK 200[/COLOR]
SKY ARTS | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8156.ts@[COLOR green]OK 200[/COLOR]
SKY ARTS | HD@http://izgemma.ddns.net:8000/live/chief/chief/17262.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY ARTS | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17262.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY ARTS | SD@http://iptvtool.es:9977/live/jf/iptv/27100.ts@[COLOR red]timed out[/COLOR]
SKY ARTS | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7686.ts@[COLOR green]OK 200[/COLOR]
SKY ARTS | SD@http://izgemma.ddns.net:8000/live/chief/chief/37392.ts@[COLOR green]OK 200[/COLOR]
SKY ARTS | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37392.ts@[COLOR green]OK 200[/COLOR]
SKY ATLANTIC | HD@http://iptvtool.es:9977/live/jf/iptv/27115.ts@[COLOR green]OK 200[/COLOR]
SKY ATLANTIC | HD@http://izgemma.ddns.net:8000/live/chief/chief/8144.ts@[COLOR green]OK 200[/COLOR]
SKY ATLANTIC | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8144.ts@[COLOR green]OK 200[/COLOR]
SKY ATLANTIC | SD@http://izgemma.ddns.net:8000/live/chief/chief/27098.ts@[COLOR green]OK 200[/COLOR]
SKY ATLANTIC | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/27098.ts@[COLOR green]OK 200[/COLOR]
SKY LIVING | HD@http://izgemma.ddns.net:8000/live/chief/chief/8143.ts@[COLOR green]OK 200[/COLOR]
SKY LIVING | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8143.ts@[COLOR green]OK 200[/COLOR]
SKY LIVING | HD@http://izgemma.ddns.net:8000/live/chief/chief/13689.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY LIVING | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13689.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY LIVING | SD@http://izgemma.ddns.net:8000/live/chief/chief/37337.ts@[COLOR green]OK 200[/COLOR]
SKY LIVING | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37337.ts@[COLOR green]OK 200[/COLOR]
SKY ONE | HD@http://izgemma.ddns.net:8000/live/chief/chief/11349.ts@[COLOR green]OK 200[/COLOR]
SKY ONE | HD@http://izgemma.ddns.net:8000/live/chief/chief/17248.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY ONE | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11349.ts@[COLOR green]OK 200[/COLOR]
SKY ONE | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17248.ts@[COLOR red]OK  Unauthorized[/COLOR]
SKY ONE | SD@http://iptvtool.es:9977/live/jf/iptv/27112.ts@[COLOR green]OK 200[/COLOR]
SKY TWO | SD@http://iptvtool.es:9977/live/jf/iptv/27111.ts@[COLOR green]OK 200[/COLOR]
SKY2 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7687.ts@[COLOR green]OK 200[/COLOR]
SKYACTION | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7565.ts@[COLOR green]OK 200[/COLOR]
SKYATLANTIC | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7681.ts@[COLOR green]OK 200[/COLOR]
SKYBOXOFFICE PPVEVENTSONLY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7547.ts@[COLOR green]OK 200[/COLOR]
SKYLIVING | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7722.ts@[COLOR red]timed out[/COLOR]
SONLIFE | SD@http://izgemma.ddns.net:8000/live/chief/chief/11849.ts@[COLOR green]OK 200[/COLOR]
SONLIFE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11849.ts@[COLOR green]OK 200[/COLOR]
SONY CHANNEL | SD@http://izgemma.ddns.net:8000/live/chief/chief/9234.ts@[COLOR green]OK 200[/COLOR]
SONY CHANNEL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9234.ts@[COLOR green]OK 200[/COLOR]
SONY CHANNEL 1 | SD@http://iptvtool.es:9977/live/jf/iptv/27117.ts@[COLOR green]OK 200[/COLOR]
SONY MAX | HD@http://izgemma.ddns.net:8000/live/chief/chief/11907.ts@[COLOR green]OK 200[/COLOR]
SONY MAX | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11907.ts@[COLOR green]OK 200[/COLOR]
SONY SAB | SD@http://izgemma.ddns.net:8000/live/chief/chief/11302.ts@[COLOR green]OK 200[/COLOR]
SONY SAB | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11302.ts@[COLOR green]OK 200[/COLOR]
SONY TV | HD@http://izgemma.ddns.net:8000/live/chief/chief/11308.ts@[COLOR green]OK 200[/COLOR]
SONY TV | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11308.ts@[COLOR green]OK 200[/COLOR]
SONY TV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7704.ts@[COLOR green]OK 200[/COLOR]
SONYSAB | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7562.ts@[COLOR green]OK 200[/COLOR]
SONYSETMAX | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7720.ts@[COLOR green]OK 200[/COLOR]
SPIKE | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7711.ts@[COLOR green]OK 200[/COLOR]
STAR GOLD | HD@http://izgemma.ddns.net:8000/live/chief/chief/11321.ts@[COLOR green]OK 200[/COLOR]
STAR GOLD | SD@http://izgemma.ddns.net:8000/live/chief/chief/29501.ts@[COLOR green]OK 200[/COLOR]
STAR GOLD | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/29501.ts@[COLOR green]OK 200[/COLOR]
STAR LIFE OK | SD@http://izgemma.ddns.net:8000/live/chief/chief/11300.ts@[COLOR green]OK 200[/COLOR]
STAR LIFE OK | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11300.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | HD@http://izgemma.ddns.net:8000/live/chief/chief/11286.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | HD@http://izgemma.ddns.net:8000/live/chief/chief/31969.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11286.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/31969.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | SD@http://izgemma.ddns.net:8000/live/chief/chief/11301.ts@[COLOR green]OK 200[/COLOR]
STAR PLUS | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11301.ts@[COLOR green]OK 200[/COLOR]
STAR UTSAV | SD@http://izgemma.ddns.net:8000/live/chief/chief/21854.ts@[COLOR green]OK 200[/COLOR]
STAR UTSAV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/21854.ts@[COLOR green]OK 200[/COLOR]
STARZ TV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7561.ts@[COLOR green]OK 200[/COLOR]
STV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7560.ts@[COLOR green]OK 200[/COLOR]
SYFY | HD@http://izgemma.ddns.net:8000/live/chief/chief/8150.ts@[COLOR green]OK 200[/COLOR]
SYFY | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8150.ts@[COLOR green]OK 200[/COLOR]
SYFY | HD@http://izgemma.ddns.net:8000/live/chief/chief/13696.ts@[COLOR red]OK  Unauthorized[/COLOR]
SYFY | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13696.ts@[COLOR red]OK  Unauthorized[/COLOR]
SYFY | SD@http://iptvtool.es:9977/live/jf/iptv/27108.ts@[COLOR red]timed out[/COLOR]
SYFY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7707.ts@[COLOR red]timed out[/COLOR]
SYFY | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/37390.ts@[COLOR green]OK 200[/COLOR]
SYFY | SD@http://izgemma.ddns.net:8000/live/chief/chief/37390.ts@[COLOR green]OK 200[/COLOR]
SYFY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37390.ts@[COLOR green]OK 200[/COLOR]
TAKBEER | SD@http://izgemma.ddns.net:8000/live/chief/chief/11750.ts@[COLOR green]OK 200[/COLOR]
TAKBEER | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11750.ts@[COLOR green]OK 200[/COLOR]
TALKING PICTURES | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11747.ts@[COLOR green]OK 200[/COLOR]
TALKING PICTURES | SD@http://izgemma.ddns.net:8000/live/chief/chief/11747.ts@[COLOR green]OK 200[/COLOR]
TALKING PICTURES | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11747.ts@[COLOR green]OK 200[/COLOR]
TBN | SD@http://izgemma.ddns.net:8000/live/chief/chief/11891.ts@[COLOR green]OK 200[/COLOR]
TBN | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11891.ts@[COLOR green]OK 200[/COLOR]
TBN | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/15617.ts@[COLOR red]OK  Unauthorized[/COLOR]
TCM | HD@http://izgemma.ddns.net:8000/live/chief/chief/14207.ts@[COLOR green]OK 200[/COLOR]
TCM | HD@http://izgemma.ddns.net:8000/live/chief/chief/17935.ts@[COLOR red]OK  Unauthorized[/COLOR]
TCM | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/14207.ts@[COLOR green]OK 200[/COLOR]
TCM | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17935.ts@[COLOR red]OK  Unauthorized[/COLOR]
TCM | SD@http://iptvtool.es:9977/live/jf/iptv/27107.ts@[COLOR red]timed out[/COLOR]
TG4 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7708.ts@[COLOR green]OK 200[/COLOR]
TG4 | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11331.ts@[COLOR green]OK 200[/COLOR]
TG4 | SD@http://izgemma.ddns.net:8000/live/chief/chief/11331.ts@[COLOR green]OK 200[/COLOR]
TG4 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11331.ts@[COLOR green]OK 200[/COLOR]
THANE | SD@http://izgemma.ddns.net:8000/live/chief/chief/30019.ts@[COLOR green]OK 200[/COLOR]
THANE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/30019.ts@[COLOR green]OK 200[/COLOR]
THE VOICE | SD@http://izgemma.ddns.net:8000/live/chief/chief/37463.ts@[COLOR green]OK 200[/COLOR]
THE VOICE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37463.ts@[COLOR green]OK 200[/COLOR]
THEVAULT | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7710.ts@[COLOR red]timed out[/COLOR]
TIMES NOW | SD@http://izgemma.ddns.net:8000/live/chief/chief/11899.ts@[COLOR green]OK 200[/COLOR]
TIMES NOW | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11899.ts@[COLOR green]OK 200[/COLOR]
TJC | SD@http://izgemma.ddns.net:8000/live/chief/chief/12586.ts@[COLOR green]OK 200[/COLOR]
TJC | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/12586.ts@[COLOR green]OK 200[/COLOR]
TLC | HD@http://izgemma.ddns.net:8000/live/ryan/ryan/8160.ts@[COLOR green]OK 200[/COLOR]
TLC | HD@http://izgemma.ddns.net:8000/live/chief/chief/8160.ts@[COLOR green]OK 200[/COLOR]
TLC | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8160.ts@[COLOR green]OK 200[/COLOR]
TLC | HD@http://izgemma.ddns.net:8000/live/chief/chief/17255.ts@[COLOR red]OK  Unauthorized[/COLOR]
TLC | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17255.ts@[COLOR red]OK  Unauthorized[/COLOR]
TLC | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/37404.ts@[COLOR green]OK 200[/COLOR]
TLC | SD@http://izgemma.ddns.net:8000/live/chief/chief/37404.ts@[COLOR green]OK 200[/COLOR]
TLC | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37404.ts@[COLOR green]OK 200[/COLOR]
TLC | SD@http://cshms2.airtel.tv/PLTV/88888888/224/3221226279/01.m3u8@[COLOR green]OK Same url[/COLOR]
TRAVEL CHANNEL | SD@http://izgemma.ddns.net:8000/live/chief/chief/11370.ts@[COLOR green]OK 200[/COLOR]
TRAVEL CHANNEL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11370.ts@[COLOR green]OK 200[/COLOR]
TRAVELCHANNEL | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7558.ts@[COLOR green]OK 200[/COLOR]
TRU TV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7618.ts@[COLOR red]timed out[/COLOR]
TV 99 | SD@http://izgemma.ddns.net:8000/live/chief/chief/11909.ts@[COLOR green]OK 200[/COLOR]
TV 99 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11909.ts@[COLOR green]OK 200[/COLOR]
TV ONE | SD@http://izgemma.ddns.net:8000/live/chief/chief/12597.ts@[COLOR green]OK 200[/COLOR]
TV ONE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/12597.ts@[COLOR green]OK 200[/COLOR]
TV3 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7631.ts@[COLOR green]OK 200[/COLOR]
TV99 | SD@http://izgemma.ddns.net:8000/live/chief/chief/11362.ts@[COLOR green]OK 200[/COLOR]
TV99 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11362.ts@[COLOR green]OK 200[/COLOR]
UNIVERSAL | HD@http://izgemma.ddns.net:8000/live/ryan/ryan/37160.ts@[COLOR green]OK 200[/COLOR]
UNIVERSAL | HD@http://izgemma.ddns.net:8000/live/chief/chief/13695.ts@[COLOR red]OK  Unauthorized[/COLOR]
UNIVERSAL | HD@http://izgemma.ddns.net:8000/live/chief/chief/37160.ts@[COLOR green]OK 200[/COLOR]
UNIVERSAL | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13695.ts@[COLOR red]OK  Unauthorized[/COLOR]
UNIVERSAL | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/37160.ts@[COLOR green]OK 200[/COLOR]
URDU1 EUROPE | SD@http://izgemma.ddns.net:8000/live/chief/chief/35120.ts@[COLOR green]OK 200[/COLOR]
URDU1 EUROPE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/35120.ts@[COLOR green]OK 200[/COLOR]
UTV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7555.ts@[COLOR red]timed out[/COLOR]
UTV IRELAND | SD@http://izgemma.ddns.net:8000/live/chief/chief/11343.ts@[COLOR green]OK 200[/COLOR]
UTV IRELAND | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11343.ts@[COLOR green]OK 200[/COLOR]
VENUS TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11757.ts@[COLOR red]<urlopen error timed out>[/COLOR]
VENUS TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11757.ts@[COLOR green]OK 200[/COLOR]
VICELAND | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7554.ts@[COLOR green]OK 200[/COLOR]
VINTAGE TV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7553.ts@[COLOR red]timed out[/COLOR]
VINTAGE TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11283.ts@[COLOR green]OK 200[/COLOR]
VINTAGE TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11283.ts@[COLOR green]OK 200[/COLOR]
VIVA | SD@http://iptvtool.es:9977/live/jf/iptv/27050.ts@[COLOR green]OK 200[/COLOR]
VOX AFRICA | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11793.ts@[COLOR green]OK 200[/COLOR]
VOX AFRICA | SD@http://izgemma.ddns.net:8000/live/chief/chief/11793.ts@[COLOR green]OK 200[/COLOR]
VOX AFRICA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11793.ts@[COLOR green]OK 200[/COLOR]
VTV | SD@http://izgemma.ddns.net:8000/live/chief/chief/35122.ts@[COLOR green]OK 200[/COLOR]
VTV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/35122.ts@[COLOR green]OK 200[/COLOR]
WATCH | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7619.ts@[COLOR red]timed out[/COLOR]
WORD NETWORK | SD@http://izgemma.ddns.net:8000/live/chief/chief/11893.ts@[COLOR green]OK 200[/COLOR]
WORD NETWORK | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11893.ts@[COLOR green]OK 200[/COLOR]
YESTERDAY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7739.ts@[COLOR green]OK 200[/COLOR]
YESTERDAY | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11244.ts@[COLOR green]OK 200[/COLOR]
ZEE PUNJABI | SD@http://izgemma.ddns.net:8000/live/chief/chief/21871.ts@[COLOR green]OK 200[/COLOR]
ZEE PUNJABI | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/21871.ts@[COLOR green]OK 200[/COLOR]
ZEE TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11312.ts@[COLOR green]OK 200[/COLOR]
ZEE TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/21845.ts@[COLOR green]OK 200[/COLOR]
ZEE TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11312.ts@[COLOR green]OK 200[/COLOR]
ZEE TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/21845.ts@[COLOR green]OK 200[/COLOR]
ZEETV | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7617.ts@[COLOR red]timed out[/COLOR]
ZING | SD@http://izgemma.ddns.net:8000/live/chief/chief/11314.ts@[COLOR green]OK 200[/COLOR]
ZING | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11314.ts@[COLOR green]OK 200[/COLOR]
[COLOR yellow]File uk.txt Found 608 Total 665[/COLOR]@@OK Filename
